	0	1	2	3	4	5	6	7	8	9	10	11
183225										depusjɛʁə,None		
183295										depʁɔtɛʒ,depʁɔtɛʒə,None		
183317										depʁɛdə,None		
183360										depɛgə,None		
183364										depeʁimɛtʁə,None		
183607										deʁɛglə,None		
183666										dezasjɛʁə,None		
183683										dezadɛʁə,None		
183733										dezagʁɛʒ,dezagʁɛʒə,None		
183768										dezaljɛnə,None		
183787										dezaltɛʁə,None		
183968										dezasjɛʒə,dezasjɛʒ,None		
184000										dezobjɛʁə,None		
184030										dezaɛʁə,None		
184127										dezãpusjɛʁə,None		
184185	dezãdɔʁmis,None			dezãdɔʁmis,None		dezãdɔʁmis,dezãdɔʁmis,None						
184188										dezãfjɛvʁə,None		
184212										dezãgʁənə,None		
184277										dezãtenɛbʁə,None		
184329										dezɛspɛʁə,None		
184373										dezaloʒɛnə,None		
184434										dezidʁɔʒɛnə,None		
184438										dezipɔtɛkə,None		
184499										dezɛ̃pʁɛɲə,None		
184503										dezɛ̃kamɛʁə,None		
184505										dezɛ̃kaʁsɛʁə,None		
184574										dezɛ̃sɛʁə,None		
184590										dezɛ̃tɛgʁə,None		
184634										dezɔblitɛʁə,None		
184639										dezɔbsɛdə,None		
184707										desɔʁsələ,None		
184756										dezɔksiʒɛnə,None		
184851										desegʁɛgə,None		
185020										detɛʁpɛnə,None		
185296										devɛʁtɛbʁə,None		
186437										ãbʁlɛl,ãbʁlɛlə,None		
186441										ãbʁənə,None		
186539										ãbʁɛlə,None		
186717										emɛʃə,None		
186730										ãmɛtʁə,None		
186930										ãpjɛʒ,ãpjɛʒə,None		
186933										ãpjɛtə,None		
186978										ãpleɛtə,None		
187022										None		
187041										ãpusjɛʁə,None		
187107										ãpɛgə,None		
187360										ãʃosənə,None		
187397										ãʃifʁənə,None		
187507										ãkɔlɛʁə,None		
188017	ãfœjaʒ,None			ãfœjaʒ,None								
188045										ãfjɛvʁə,None		
188062										ãflɛʃə,None		
188128										ãfynɛbʁə,None		
188162										ãganimɛdə,None		
188594										ãnwazələ,None		
188852										ãstɛʁə,None		
188918										ãtejə,ãtej,None		
189185										ãtʁəsɛdə,None		
189198										ãtʁədifɛʁə,None		
189208										ãtʁədeposɛdə,None		
189295										ãtʁəpenɛtʁə,None		
189318										ãtʁəʁəsəmə,None		
189505										ãtʁəpenɛtʁə,None		
189586										ãtɛʃə,None		
189591										ãtenɛbʁə,None		
190236										ɛskabɛʃə,None		
190687										ɛskʁɛpə,None		
191065										ɛspɛʁə,None		
191228										ɛsəmə,None		
191607										ɛstjɔmɛnə,None		
192384										øʁeɛkə,None		
192547										ɛgzaʒɛʁə,None		
192610										ɛgzaspɛʁə,None		
192753										ɛkskʁɛtə,None		
192780										ɛksɛdə,None		
192803										ɛgzãtɛʁə,None		
192870										ɛgzeʁɛdə,None		
192992										ɛgzɔnɛʁə,None		
193657										ɛgzybɛʁə,None		
193660										ɛgzylsɛʁə,None		
193687										ɛgzɛkʁə,None		
195027										None,fasɛjə,fazɛj,fasɛj,fazɛjə		
195548										fazɛj,fazɛjə,None		
195829										fənə,None		
198781										flɛʃə,None		
199667										fɔʁsənə,None		
200823										fuswajə,None		
200912										fwɛnə,None		
200959	fʁaʒ,None			fʁaʒ,None								
201204										fʁãʃimãdɛʒ,fʁãʃimãdɛʒə,None		
