	0	1	2	3	4	5	6	7	8	9	10	11
109817										atʁupaj,atʁupajə		
110297		,otodekʁiv	,otodekʁi		,otodekʁi	otodekʁiv,otodekʁiv	,otodekʁiv	,otodekʁiv			,otodekʁivi	,otodekʁi
111261												,otoapsu
111306		,ɔtoaglɔmeʁ	,ɔtoaglɔmeʁ		,ɔtoaglɔmeʁ		,ɔtoaglɔmeʁ					
111324		,otoalteʁ	,otoalteʁ		,otoalteʁ		,otoalteʁ					
111348		,otoapitwaj	,otoapitwaj		,otoapitwajtwa		,otoapitwaj					
111385		,otoaseʃ	,otoaseʃ		,otoaseʃ		,otoaseʃ					
111410										otobuzij,otobuzijə		
111475			otokɔ̃vɛ̃k,otokɔ̃vɛ̃		otokɔ̃vɛ̃k,otokɔ̃vɛ̃							
111485		,otoselebʁ	,otoselebʁ		,otoselebʁ		,otoselebʁ					
111492		,otodiʒeʁ	,otodiʒeʁ		,otodiʒeʁ		,otodiʒeʁ					
111500		,otodebʁɛj	,otodebʁɛj		,otodebʁɛj		,otodebʁɛj			otodebʁej,otodebʁejə		
111508	otodekɔ̃ʒl,otodekɔ̃ʒəl			otodekɔ̃ʒl,otodekɔ̃ʒəl		otodekɔ̃ʒl,otodekɔ̃ʒəl				otodekɔ̃ʒlɛl,otodekɔ̃ʒlɛlə	otodekɔ̃ʒla,otodekɔ̃ʒəla	otodekɔ̃ʒle,otodekɔ̃ʒəle
111518		,otodekʁet	,otodekʁet		,otodekʁet		,otodekʁet					
111593		,otoʒeneʁ	,otoʒeneʁ		,otoʒeneʁ		,otoʒeneʁ					
111616		,otoɛ̃seʁ	,otoɛ̃seʁ		,otoɛ̃seʁ		,otoɛ̃seʁ					
111660	otonivl,otonivəl			otonivl,otonivəl		otonivl,otonivəl		otonivl,otonivəl		otonivlɛlə,otonivlɛl,otonivɛl,otonivɛlə	otonivəla,otonivla	otonivle,otonivəle
111678		,otouvʁis	,otouvʁi		,otouvʁi	otouvʁis,otouvʁis	,otouvʁis	,otouvʁis				,otouvʁi
111705										otopjɛʒə,otopjɛʒ		
111725		,otopʁɔteʒ	,otopʁɔteʒ		,otopʁɔteʒ		,otopʁɔteʒ				,otopʁɔteʒa	
111751	otoʁənuvəl,otoʁənuvl			otoʁənuvəl,otoʁənuvl		otoʁənuvəl,otoʁənuvl		otoʁənuvəl,otoʁənuvl		otoʁənuvɛlə,otoʁənuvlɛl,otoʁənuvlɛlə,otoʁənuvɛl	otoʁənuvla,otoʁənuvəla	otoʁənuvəle,otoʁənuvle
111777		,otoʁegl	,otoʁegl		,otoʁegl		,otoʁegl					
111849		,ototʁãsfeʁ	,ototʁãsfeʁ		,ototʁãsfeʁ		,ototʁãsfeʁ					
111856										otoveʁuj,otoveʁujə		
111885		,otoapsɔlv	,otoapsu		,otoapsu	otoapsɔlv,otoapsɔlv	,otoapsɔlv	,otoapsɔlv			,otoapsɔly	,otoapsu
112031										otobuzij,otobuzijə		
112121		,otokɔ̃pil	,otokɔ̃pil		,otokɔ̃pil	otokɔ̃pil,otokɔ̃pil	,otokɔ̃pil	,otokɔ̃pil			,otokɔ̃pila	,otokɔ̃pile
112157			otokɔ̃vɛ̃k,otokɔ̃vɛ̃		otokɔ̃vɛ̃k,otokɔ̃vɛ̃							
112236		,otodebʁɛj	,otodebʁɛj		,otodebʁɛj		,otodebʁɛj			otodebʁej,otodebʁejə		
112245	otodekɔ̃ʒl,otodekɔ̃ʒəl			otodekɔ̃ʒl,otodekɔ̃ʒəl		otodekɔ̃ʒl,otodekɔ̃ʒəl				otodekɔ̃ʒlɛl,otodekɔ̃ʒlɛlə	otodekɔ̃ʒla,otodekɔ̃ʒəla	otodekɔ̃ʒle,otodekɔ̃ʒəle
112394		,otoɛ̃tɛʁvjuv	,otoɛ̃tɛʁvjuv		,otoɛ̃tɛʁvjuv	otoɛ̃tɛʁvjuv,otoɛ̃tɛʁvjuv	,otoɛ̃tɛʁvjuv	,otoɛ̃tɛʁvjuv			,otoɛ̃tɛʁvjuva	,otoɛ̃tɛʁvjuve
112401		,otolibeʁ	,otolibeʁ		,otolibeʁ		,otolibeʁ					
112504	otonivl,otonivəl			otonivl,otonivəl		otonivl,otonivəl		otonivl,otonivəl		otonivlɛlə,otonivlɛl,otonivɛl,otonivɛlə	otonivəla,otonivla	otonivle,otonivəle
