	0	1	2	3	4	5	6	7	8	9	10	11
314634	#DEF	#DEF		#DEF		#DEF	#DEF	#DEF			#DEF	#DEF
315084	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
315093	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
315100	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
315103	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
316063	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
316375											#DEF	
316421	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
316422	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
316423	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
316697											#DEF	
317120	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
317151	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
317152	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
317154	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
317326					#DEF	#DEF						
317499	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
318347					#DEF	#DEF		#DEF				
319255	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
324848					#DEF	#DEF						
325707	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
325925											#DEF	
326672					#DEF	#DEF		#DEF				
327440					#DEF	#DEF		#DEF				
327776	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
327927											#DEF	
328589		#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
332723	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
338579					#DEF	#DEF		#DEF			#DEF	#DEF
343975					#DEF	#DEF		#DEF				
344477	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
349051					#DEF	#DEF		#DEF				
349218					#DEF	#DEF						
349387	#DEF	#DEF		#DEF		#DEF	#DEF	#DEF			#DEF	#DEF
349397	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
349902	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
367278	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
370711	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	
376279						#DEF						
376629	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
379638	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
380413	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF		#DEF	#DEF	#DEF
382659					#DEF	#DEF		#DEF				
382831											#DEF	
387780	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF	#DEF			#DEF	#DEF
