	lid	cstr	phon_affix
132	l179806	décaX	de.ka.dak.til
133	l172392	demiX	də.mi.siʁ.ky.lɛʁ
134	l173576	diXique	dja.dɛl.fik
135	l174080	diX	di.dak.til
136	l176313	dodécaX	do.de.ka.stil
137	l219154	hexaX	eg.za.ɛdʁ|ɛg.za.ɛdʁ
138	l261635	monoX	mɔ.no.a.sid
139	l261646	monoXique	mɔ.no.a.tɔ.mik
140	l261680	monoXien	mɔ.nɔ.kaʁ.pjɛ̃
141	l261685	monoXaire	mɔ.no.se.ly.lɛʁ
142	l261742	biXin	mɔ.no.kʁis.ta.lɛ̃
143	l261837	monoXé	mɔ.no.i.dʁa.te
144	l261920	monoXal	mɔ.no.pa.ʁɑ̃.tal
145	l262025	monoXel	mɔ.nɔ.sɛk.sɥɛl
146	l262074	Xite	mɔ.nɔ.te.lit
147	l266523	multiXel	myl.ti.di.mã.sjɔ.nɛl
148	l266523	multiX	myl.ti.di.mã.sjɔ.nɛl
149	l266560	multiXaire	myl.ti.se.ly.lɛʁ
150	l266592	multiXé	myl.ti.di.ʒi.te
151	l266640	multiXal	myl.ti.la.te.ʁal
152	l273986	nonX	nɔ.n‿a.li.ɲe
153	l277575	octoXal	ɔk.tɔ.ɡɔ.nal
154	l277604	octoX	ɔk.tɔ.pɔd
155	l277614	octoXique	ɔk.tɔ.si.la.bik
156	l288071	pentaX	pɛ̃.ta.dak.til
157	l288085	pentaXal	pɛ̃.ta.gɔ.nal
158	l288149	pentaXique	pɛ̃.ta.tɔ.mik
159	l294999	pluriXel	ply.ʁi.a.nɥɛl
160	l294999	pluriX	ply.ʁi.a.nɥɛl
161	l295002	pluriXaire	ply.ʁi.se.ly.lɛʁ
162	l295027	pluriXal	ply.ʁi.la.te.ʁal
163	l296384	polyX	po.li.a.sid
164	l296388	polyXique	pɔ.li.ak.ʁi.lik
165	l92192	Xate	a.kʁi.lat
166	l296424	polyXaire	pɔ.li.aʁ.ti.ky.lɛʁ
167	l296461	polyXé	dɔ.ʁe
168	l296550	polyXal	pɔ.li.ɡɔ.nal
169	l296808	polyXiste	pɔ.li.te.ist
170	l327645	rétroX	ʁe.tʁɔ.ak.sjɔ̃
171	l338067	semiX	sə.mi.a.nɥɛl
172	l366000	tétraX	te.tʁa.bʁãʃ
173	l366110	tétraXaire	te.tʁa.pɔ.lɛʁ
174	l366136	tétraXique	te.tʁa.tɔ.mik
175	l366850	uniX	yni.aks
176	l366859	uniXaire	y.ni.se.ly.lɛʁ
177	l366878	uniXé	y.ni.ky.spi.de
178	l366882	uniXel	y.ni.di.mã.sjɔ.nɛl
179	l366914	uniXiste	y.ni.ʒã.bist
180	l366919	uniXal	y.ni.la.te.ʁal
181	l89885	aX	a.bɛ.sɛ
182	l91812	Xifier	a.si.di.fjɛ
183	l112063	autoX	o.tɔ.kɑ.sabl
184	l124051	bioX	bjɔ.de.gʁa.dabl
185	l157899	coX	kɔ.mɥɛ
186	l160971	contreX	kɔ̃.tʁəfɛʁ
187	l175129	disX	di.sɛʁ.nɛ
188	l180126	dé1X	de.sã.tʁa.li.zɛ
189	l182055	dé2X	de.li.mi.tɛ
190	l185781	éX	e.fa.sɛ
191	l189144	enX	ã.tʁe.nɛ
192	l225523	inX	i.li.mi.tabl
193	l229772	interX	ɛ̃.tɛʁ.ʃã.ʒɛ
194	l244384	Xaliser	lɔ.ka.li.zɛ
195	l284825	paraX	pa.ʁa.ʃə.vɛ
196	l303646	préX	pʁe.ʁe.glɛ
197	l349355	surX	sy.ʁɛ.ksi.ta.bi.li.te
198	l350688	synX	sɛ̃.kʁis.ta.li.zɛ
199	l360808	transX	tʁãs.fɔʁ.mɛ
200	l376537	vraiX	vʁɛ.sã.blabl
201	l386579	équiX	e.kɥi.pʁɔ.babl
202	l106843	Xatique	a.ʁɔ.ma.tik
203	l229326	inXiser	ɛ̃.sɔ.nɔ.ʁi.zɛ
204	l229995	interXal	ɛ̃.tɛʁ.na.sjɔ.nal
205	l101290	antiXique	ã.tal.ʒik
206	l101370	antiX	ã.tɛl.mɛ̃.tik
207	l101792	antiXiste	ã.ti.ɛ̃.pe.ʁja.list
208	l101802	antiXoire	ã.ti.ɛ̃.fla.ma.twaʁ
209	l101930	antiXeux	ɑ̃.tiʁ.li.ʒjøz
210	l102037	antiXif	ɑ̃.ti.a.de.zif
211	l102047	antiXil	ã.ti.a.ma.ʁil
212	l102095	antiXien	ã.ti.bak.te.ʁjɛ̃
213	l102228	antiXal	ɑ̃.ti.kli.nal
214	l102234	antiXant	ã.ti.kɔ.a.gy.lã
215	l102272	antiXel	ã.ti.kɔ̃.ʒɔ̃k.ty.ʁɛl
216	l102290	antiXivant	ã.ti.kɔ̃.vyl.si.vã
217	l102434	antiXible	ã.ti.fɛʁ.mã.tɛ.sibl
218	l102466	antiXile	ã.ti.fe.bʁil
219	l102692	antiXériel	ã.ti.mi.ni.ste.ʁjɛlɛl
220	l102766	antiXaliste	ã.ti.na.sjɔ.na.list
221	l102803	antiXaire	ã.ti.ny.kle.ɛʁ
222	l102882	antiXotique	ã.ti.pa.tʁi.jɔ.tik|ã.ti.pat.ʁi.jɔ.tik
223	l103003	antiXide	ã.ti.py.tʁid
224	l103099	antiXain	ã.ti.ʁe.py.bli.kɛ̃
225	l364329	Xose	ty.bɛʁ.ky.loz
226	l271573	nauX	no.pa.ti
227	l296175	polioX	pɔ.ljo.mje.lit
228	l344328	sousX	su.ma.ʁɛ̃
229	l347745	subX	sy.bɔʁ.dɔ.ne
230	l375995	Xté	vɔ.lɔ̃.te
231	l369696	Xariser	vas.ky.la.ʁi.zɛ
232	l307653	quadriXel	kwa.dʁi.di.mã.sjɔ.nɛl|ka.dʁi.di.mã.sjɔ.nɛl
233	l307653	quadriX	kwa.dʁi.di.mã.sjɔ.nɛl|ka.dʁi.di.mã.sjɔ.nɛl
234	l307656	quadriXal	kwa.dʁi.jɛ.nal
235	l362749	triX	tʁi.si.lab
236	l362142	triXal	tʁi.ɛ.nal
237	l362313	triXé	tʁi.li.be
238	l362355	triXel	tʁi.mɛs.tʁi.jɛl
239	l368481	Xce	va.lãs
240	l281029	Xaie	oz.ʁɛ
241	l108229	Xeraie	as.pɛʁ.ʒə.ʁɛ
242	l137656	Xraie	ka.fe.ʁɛ
243	l93878	aXaste	a.ʒə.last
244	l94267	Xiat	a.gʁa.ʁja
245	l108602	Xanat	a.sis.ta.na
246	l122599	Xicat	bɛ.li.ka
247	l147435	Xariat	ʃã.sə.la.ʁja
248	l175065	Xorat	di.ʁɛk.tɔ.ʁa
249	l259233	Xériat	mi.nis.te.ʁja
250	l259359	Xolet	mɛ̃.sɔ.lɛ
251	l125902	Xinet	blɔ̃.di.nɛ
252	l134170	Xelette	by.blɛt
253	l127065	Xinette	bɔ̃.bi.nɛt
254	l371088	Xerette	vɛʁ.ʒə.ʁɛt
255	l125134	Xounette	bla.gu.nɛt
256	l219693	Xiette	is.tɔ.ʁjɛt
257	l346197	Xlette	staʁ.lɛt
258	l386383	éXette	e.pɥi.zɛt
259	l240031	Xichette	laʁ.mi.ʃɛt
260	l157576	Xète	kɔ̃.blɛt
261	l197525	Xation	fi.ksa.sjɔ̃
262	l200866	Xiquet	fu.tʁi.kɛ
263	l370960	Xeret	vɛʁ.də.ʁɛ
264	l165969	Xlet	kʁa.tɛʁ.lɛ
265	l371652	Xiculet	vɛʁ.si.ky.lɛ
266	l124752	biXet	bi.stɔ.kɛ
267	l208258	Xouette	ʒi.ʁwɛt
268	l121403	Xonnette	bɛʁ.ʒə.ʁɔ.nɛt
269	l361911	Xitien	tʁi.by.ni.sjɛ̃
270	l250400	Xyen	ma.lɛ.jɛ̃
271	l361909	Xicien	tʁi.by.ni.sjɛ̃
272	l160247	conXain	kɔ̃.tã.pɔ.ʁɛ̃
273	l248928	macroXien	ma.kʁɔ.taʁ.sjɛ̃
274	l89866	aXien	a.bak.te.ʁjɛ̃
275	l241042	Xium	lɔ.ʁã.sjɔm
276	l360918	transXien	tʁãs.lo.ʁã.sjɛ̃
277	l385807	épiXien	e.pi.la.ʁɛ̃.ʒjɛ̃
278	l347555	subXien	sy.bʁa.ʃjɛ̃
279	l224601	hétéroXien	e.teʁ.k.ti.pjɛ̃
280	l277354	Xitan	ɔ.ksi.tɑ̃
281	l100179	Xais	ã.glɛ|ã.gle
282	l100220	Xican	ã.gli.kɑ̃
283	l286090	Xisan	paʁ.ti.zɑ̃
284	l153832	cisXain	sis.mɔ̃.tɛ̃
285	l341651	Xène	slɔ.vɛn|slɔ.vɛnə
286	l295202	Xéien	ple.be.jɛ̃
287	l295115	Xian	ply.vjã
288	l275353	Xaine	ny.ky.lɛn
289	l365577	téléXéen	te.le.ɔsteɛ̃
290	l205073	Xienne	ga.le.ʁjɛ̃n|ga.le.ʁjɛn
291	l96913	Xyle	a.lil
292	l301540	Xane	pʁɔ.pan
293	l121224	Xïque	bɛ̃.zɔik
294	l143950	cataXien	ka.ta.ʁi.njɛ̃
295	l216914	haploXien	a.plɔ.ʁi.njɛ̃
296	l196535	Xière	fœ.jɛʁ
297	l197029	Xetier	fil.tje
298	l90093	Xer	a.bɛ.je
299	l135825	Xonnier	be.ka.sɔ.nje
300	l136482	Xère	be.ta.jɛʁ
301	l156757	coXier	ko.lis.tjee
302	l266455	Xassier	mylasje
303	l307946	quartXier	kaʁ.ta.nje
304	l344341	sousXière	su.mã.tɔ.njɛʁ
305	l299282	Xailler	pu.la.je
306	l205390	Xilier	gã.ti.lje
307	l271326	nasoXier	na.zɔ.suʁ.si.lje
308	l239209	Xagier	lɑ̃.ɡa.ʒje
309	l93366	Xataire	a.fɛʁ.ma.tɛʁ
310	l139968	Xpetière	kan.pə.tjɛʁ
311	l104118	aXaire	a.pɔ.lɛʁ
312	l104897	aquaXaire	a.kwa.ty.by.lɛʁ
313	l145470	centroXaire	sã.tʁo.me.dy.lɛʁ
314	l153576	circomXaire	siʁ.kɔ̃.pɔ.lɛʁ
315	l153665	circumXaire	siʁ.kɔm.ly.nɛʁ
316	l161591	coXaire	ko.pla.nɛ̃ʁ
317	l174631	diXaire	di.mjɛʁ
318	l386546	équiXaire	e.kɥi.mɔ.le.ky.lɛʁ
319	l193426	extraXaire	ɛk.stʁa.ak.si.lɛʁ
320	l223122	hypoXaire	i.pɔ.kɔ.ti.le.dɔ.nɛʁ
321	l228528	infraXaire	ɛ̃.fʁa.lap.sɛʁ
322	l230607	interXaire	ɛ̃.tɛ.ʁã.tɛ.nɛʁ
323	l230354	intraXaire	ɛ̃.tʁa.se.ly.lɛʁ
324	l235138	juxtaXaire	ʒyk.sta.li.ne.ɛʁ
325	l255015	matriXaire	ma.tʁi.li.ne.ɛʁ
326	l278764	omniXaire	ɔm.ni.pɔ.lɛʁ
327	l280784	orthoXaire	ɔʁ.to.mɔ.le.ky.lɛʁ
328	l295572	podoXaire	pɔ.dɔf.tal.mɛʁ
329	l286916	patriXaire	pa.tʁi.li.ne.ɛʁ
330	l339545	sexXaire	sɛks.di.ʒi.tɛʁ
331	l306897	périXaire	pe.ʁi.pɔ.lɛʁ
332	l298736	postXaire	pɔst.gla.sjɛʁ
333	l303263	préXaire	pʁe.gla.sjɛʁ
334	l301517	proXaire	pʁɔ.ne.tɛʁ
335	l307600	quadriXaire	kwa.dʁã.gy.lɛʁ
336	l308763	quinquXaire	kɥɛ̃.kwã.gy.lɛʁ
337	l344452	sousXaire	su.ska.py.lɛʁ
338	l347528	subXaire	syb.a.si.ky.lɛʁ
