Phoneme	Affix	Stem	rid
liftje	ije	lift	r217318
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifj	ifjɛ	siɲi	r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
siɲifi	ifjɛ		r113154
atəlje	ije	atəl	r181714
atəlje	ije	atəl	r181714
omonje	ije	omon	r185746
omonje	ije	omon	r185746
omonje	ije	omon	r185748
omonje	ije	omon	r185748
avɑ̃taʒø	øz		r87526
avɑ̃taʒø	øz		r87526
avɑ̃taʒø	øz		r87794
avɑ̃taʒø	øz		r87794
dezavɑ̃taʒø	øz		r88668
dezavɑ̃taʒø	øz		r88668
dezavɑ̃taʒø	øz		r112196
dezavɑ̃taʒø	øz		r112196
avɑ̃tyʁø	øz		r87922
avɑ̃tyʁø	øz		r87922
avɑ̃tyʁje	ije	avɑ̃tyʁ	r90274
avɑ̃tyʁje	ije	avɑ̃tyʁ	r90274
avɑ̃tyʁje	ije	avɑ̃tyʁ	r184878
avɑ̃tyʁje	ije	avɑ̃tyʁ	r184878
avɑ̃tyʁje	ije	avɑ̃tyʁ	r184880
avɑ̃tyʁje	ije	avɑ̃tyʁ	r184880
aviʁɔnje	ije	aviʁɔn	r181844
aviʁɔnje	ije	aviʁɔn	r181844
baʃotəʁ	œʁ	baʃotə	r11559
baʃotəʁ	œʁ	baʃotə	r11559
baʃotəʁ	œʁ	baʃotə	r11568
baʃotəʁ	œʁ	baʃotə	r11568
baʃotəʁ	œʁ	baʃotə	r11570
baʃotəʁ	œʁ	baʃotə	r11570
bagje	ije	bag	r186386
bagje	ije	bag	r186386
bagnodje	ije	bagnod	r185762
baɡ(ə)nodje	ije	baɡ(ə)nod	r185762
baɡ(ə)nodje	ije	baɡ(ə)nod	r185762
bagnodje	ije	bagnod	r185728
baɡ(ə)nodje	ije	baɡ(ə)nod	r185728
baɡ(ə)nodje	ije	baɡ(ə)nod	r185728
baytje	ije	bayt	r183756
baytje	ije	bayt	r183756
bɛzɑʒ	aʒ	bɛzɑ	r11786
bɛzɑʒ	aʒ	bɛzɑ	r11786
bɛzɑʒ	aʒ	bɛzɑ	r11794
bɛzɑʒ	aʒ	bɛzɑ	r11794
balje	ije	bal	r186208
balje	ije	bal	r186208
balãsje	ije	balãs	r184546
balɑ̃sje	ije	balɑ̃s	r184546
balãsje	ije	balãs	r184546
balɑ̃sje	ije	balɑ̃s	r184546
balãsje	ije	balãs	r184544
balɑ̃sje	ije	balɑ̃s	r184544
balãsje	ije	balãs	r184544
balɑ̃sje	ije	balɑ̃s	r184544
balizje	ije	baliz	r181938
balizje	ije	baliz	r181938
balivɛʁnje	ije	balivɛʁn	r186206
balivɛʁnje	ije	balivɛʁn	r186206
balɔnje	ije	balɔn	r186212
balɔnje	ije	balɔn	r186212
banje	ije	ban	r181956
banje	ije	ban	r181956
banje	ije	ban	r181960
banje	ije	ban	r181960
bɑ̃dje	ije	bɑ̃d	r184788
bɑ̃dje	ije	bɑ̃d	r184788
bɑ̃dje	ije	bɑ̃d	r181952
bɑ̃dje	ije	bɑ̃d	r181952
bɑ̃dje	ije	bɑ̃d	r181948
bɑ̃dje	ije	bɑ̃d	r181948
bãdulje	ije	bãdul	r185780
bãdulje	ije	bãdul	r185780
baʃəlje	ije	baʃəl	r217476
baʃəlje	ije	baʃəl	r217476
baʃəlje	ije	baʃəl	r217474
baʃəlje	ije	baʃəl	r217474
baʃəlje	ije	baʃəl	r125648
baʃəlje	ije	baʃəl	r125648
baʃəlje	ije	baʃəl	r217386
baʃəlje	ije	baʃəl	r217386
baʃəlje	ije	baʃəl	r217384
baʃəlje	ije	baʃəl	r217384
baʁbje	ije	baʁb	r181972
baʁbje	ije	baʁb	r181972
bɑʁje	ije	bɑʁ	r182010
bɑʁje	ije	bɑʁ	r182010
bazje	ije	baz	r186962
bazje	ije	baz	r186962
bɑtje	ije	bɑt	r186044
bɑtje	ije	bɑt	r186044
bɑtɔnje	ije	bɑtɔn	r184682
bɑtɔnje	ije	bɑtɔn	r184682
bɑtɔnje	ije	bɑtɔn	r119792
